code,name,definition,icd_tm2,icd_biomed,ayush_system
A139,Anemia,A respiratory condition marked by coughing and irritation.,TM2_070,BIO_059,Unani
A140,Malaria,A chronic disease affecting the respiratory system.,TM2_071,BIO_088,Ayurveda
A141,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_099,BIO_015,Yoga
A142,Asthma,A condition involving high blood pressure over a long period.,TM2_066,BIO_095,Yoga
A143,Cough,A common viral infection causing fever and weakness.,TM2_040,BIO_003,Siddha
A144,Hypertension,A condition involving high blood pressure over a long period.,TM2_095,BIO_080,Ayurveda
A145,Arthritis,Parasitic infection spread by mosquitoes.,TM2_003,BIO_011,Ayurveda
A146,Cough,Inflammation of airways causing difficulty in breathing.,TM2_086,BIO_081,Unani
A147,Arthritis,A common viral infection causing fever and weakness.,TM2_013,BIO_068,Siddha
A148,Fever,A respiratory condition marked by coughing and irritation.,TM2_025,BIO_053,Siddha
A149,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_030,BIO_019,Ayurveda
A150,Hypertension,A metabolic disorder characterized by high blood sugar levels.,TM2_088,BIO_055,Yoga
A151,Tuberculosis,Deficiency of red blood cells or hemoglobin.,TM2_081,BIO_084,Ayurveda
A152,Hypertension,Parasitic infection spread by mosquitoes.,TM2_021,BIO_048,Siddha
A153,Malaria,A chronic disease affecting the respiratory system.,TM2_088,BIO_088,Yoga
A154,Hypertension,Inflammation of airways causing difficulty in breathing.,TM2_045,BIO_090,Homeopathy
A155,Arthritis,A condition involving high blood pressure over a long period.,TM2_031,BIO_045,Siddha
A156,Arthritis,A neurological condition causing severe headaches.,TM2_061,BIO_003,Yoga
A157,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_071,BIO_081,Yoga
A158,Arthritis,A condition involving high blood pressure over a long period.,TM2_015,BIO_071,Yoga
A159,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_081,BIO_099,Homeopathy
A160,Anemia,A chronic disease affecting the respiratory system.,TM2_021,BIO_003,Homeopathy
A161,Anemia,A respiratory condition marked by coughing and irritation.,TM2_049,BIO_045,Yoga
A162,Cough,A respiratory condition marked by coughing and irritation.,TM2_078,BIO_015,Unani
A163,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_074,BIO_076,Unani
A164,Migraine,A metabolic disorder characterized by high blood sugar levels.,TM2_010,BIO_008,Homeopathy
A165,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_059,BIO_032,Yoga
A166,Anemia,A neurological condition causing severe headaches.,TM2_080,BIO_032,Siddha
A167,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_028,BIO_058,Ayurveda
A168,Tuberculosis,A neurological condition causing severe headaches.,TM2_025,BIO_067,Siddha
A169,Anemia,Joint inflammation leading to pain and stiffness.,TM2_021,BIO_063,Siddha
A170,Malaria,Parasitic infection spread by mosquitoes.,TM2_077,BIO_023,Siddha
A171,Fever,Parasitic infection spread by mosquitoes.,TM2_003,BIO_063,Ayurveda
A172,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_029,BIO_096,Yoga
A173,Migraine,A respiratory condition marked by coughing and irritation.,TM2_065,BIO_038,Unani
A174,Asthma,A condition involving high blood pressure over a long period.,TM2_017,BIO_064,Siddha
A175,Asthma,A condition involving high blood pressure over a long period.,TM2_045,BIO_054,Yoga
A176,Migraine,A respiratory condition marked by coughing and irritation.,TM2_028,BIO_044,Siddha
A177,Tuberculosis,A neurological condition causing severe headaches.,TM2_097,BIO_037,Homeopathy
A178,Arthritis,A chronic disease affecting the respiratory system.,TM2_088,BIO_035,Yoga
A179,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_015,BIO_039,Homeopathy
A180,Fever,Joint inflammation leading to pain and stiffness.,TM2_098,BIO_003,Homeopathy
A181,Anemia,A respiratory condition marked by coughing and irritation.,TM2_039,BIO_011,Homeopathy
A182,Tuberculosis,Parasitic infection spread by mosquitoes.,TM2_009,BIO_080,Homeopathy
A183,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_042,BIO_027,Ayurveda
A184,Cough,Inflammation of airways causing difficulty in breathing.,TM2_027,BIO_069,Yoga
A185,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_001,BIO_033,Homeopathy
A186,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_046,BIO_037,Ayurveda
A187,Anemia,A condition involving high blood pressure over a long period.,TM2_025,BIO_024,Siddha
A188,Hypertension,Parasitic infection spread by mosquitoes.,TM2_055,BIO_021,Siddha
A189,Fever,A chronic disease affecting the respiratory system.,TM2_078,BIO_010,Homeopathy
A190,Diabetes,A common viral infection causing fever and weakness.,TM2_085,BIO_094,Yoga
A191,Migraine,A respiratory condition marked by coughing and irritation.,TM2_084,BIO_008,Unani
A192,Cough,A condition involving high blood pressure over a long period.,TM2_037,BIO_073,Unani
A193,Anemia,A chronic disease affecting the respiratory system.,TM2_059,BIO_044,Homeopathy
A194,Hypertension,A metabolic disorder characterized by high blood sugar levels.,TM2_046,BIO_066,Ayurveda
A195,Anemia,A chronic disease affecting the respiratory system.,TM2_002,BIO_018,Ayurveda
A196,Hypertension,Parasitic infection spread by mosquitoes.,TM2_058,BIO_086,Unani
A197,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_091,BIO_008,Ayurveda
A198,Asthma,Parasitic infection spread by mosquitoes.,TM2_029,BIO_006,Yoga
A199,Arthritis,Parasitic infection spread by mosquitoes.,TM2_059,BIO_005,Siddha
A200,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_041,BIO_088,Siddha
A201,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_052,BIO_059,Unani
A202,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_005,BIO_084,Unani
A203,Anemia,A chronic disease affecting the respiratory system.,TM2_045,BIO_050,Ayurveda
A204,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_046,BIO_050,Unani
A205,Malaria,A condition involving high blood pressure over a long period.,TM2_018,BIO_076,Siddha
A206,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_094,BIO_086,Siddha
A207,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_087,BIO_015,Ayurveda
A208,Cough,Parasitic infection spread by mosquitoes.,TM2_026,BIO_064,Homeopathy
A209,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_027,BIO_045,Siddha
A210,Hypertension,A condition involving high blood pressure over a long period.,TM2_045,BIO_099,Ayurveda
A211,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_047,BIO_088,Unani
A212,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_053,BIO_002,Homeopathy
A213,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_089,BIO_011,Homeopathy
A214,Hypertension,A neurological condition causing severe headaches.,TM2_004,BIO_014,Siddha
A215,Cough,A chronic disease affecting the respiratory system.,TM2_025,BIO_066,Siddha
A216,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_070,BIO_081,Homeopathy
A217,Cough,A chronic disease affecting the respiratory system.,TM2_049,BIO_036,Siddha
A218,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_043,BIO_027,Homeopathy
A219,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_033,BIO_087,Homeopathy
A220,Fever,A common viral infection causing fever and weakness.,TM2_011,BIO_072,Homeopathy
A221,Diabetes,A chronic disease affecting the respiratory system.,TM2_014,BIO_081,Homeopathy
A222,Cough,A condition involving high blood pressure over a long period.,TM2_085,BIO_051,Ayurveda
A223,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_088,BIO_087,Unani
A224,Fever,A condition involving high blood pressure over a long period.,TM2_092,BIO_072,Siddha
A225,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_064,BIO_047,Siddha
A226,Cough,A respiratory condition marked by coughing and irritation.,TM2_074,BIO_068,Unani
A227,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_030,BIO_078,Yoga
A228,Cough,Inflammation of airways causing difficulty in breathing.,TM2_068,BIO_080,Unani
A229,Cough,Inflammation of airways causing difficulty in breathing.,TM2_007,BIO_066,Unani
A230,Cough,Deficiency of red blood cells or hemoglobin.,TM2_034,BIO_043,Ayurveda
A231,Cough,Deficiency of red blood cells or hemoglobin.,TM2_099,BIO_045,Unani
A232,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_084,BIO_057,Siddha
A233,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_007,BIO_078,Unani
A234,Malaria,A respiratory condition marked by coughing and irritation.,TM2_095,BIO_026,Siddha
A235,Migraine,A respiratory condition marked by coughing and irritation.,TM2_041,BIO_063,Yoga
A236,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_069,BIO_003,Unani
A237,Anemia,A common viral infection causing fever and weakness.,TM2_062,BIO_091,Siddha
A238,Arthritis,A neurological condition causing severe headaches.,TM2_070,BIO_049,Yoga
A239,Anemia,Parasitic infection spread by mosquitoes.,TM2_012,BIO_003,Yoga
A240,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_036,BIO_027,Ayurveda
A241,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_010,BIO_031,Ayurveda
A242,Malaria,A condition involving high blood pressure over a long period.,TM2_065,BIO_071,Ayurveda
A243,Arthritis,A common viral infection causing fever and weakness.,TM2_082,BIO_092,Homeopathy
A244,Migraine,A neurological condition causing severe headaches.,TM2_067,BIO_088,Yoga
A245,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_093,BIO_099,Ayurveda
A246,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_011,BIO_022,Yoga
A247,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_031,BIO_032,Yoga
A248,Fever,A respiratory condition marked by coughing and irritation.,TM2_075,BIO_039,Siddha
A249,Diabetes,A common viral infection causing fever and weakness.,TM2_098,BIO_014,Homeopathy
A250,Diabetes,A condition involving high blood pressure over a long period.,TM2_040,BIO_050,Homeopathy
A251,Cough,A condition involving high blood pressure over a long period.,TM2_008,BIO_086,Ayurveda
A252,Hypertension,A chronic disease affecting the respiratory system.,TM2_062,BIO_071,Siddha
A253,Fever,A chronic disease affecting the respiratory system.,TM2_086,BIO_043,Unani
A254,Fever,A chronic disease affecting the respiratory system.,TM2_048,BIO_097,Ayurveda
A255,Fever,Joint inflammation leading to pain and stiffness.,TM2_002,BIO_012,Homeopathy
A256,Diabetes,A condition involving high blood pressure over a long period.,TM2_014,BIO_039,Unani
A257,Asthma,A common viral infection causing fever and weakness.,TM2_089,BIO_034,Ayurveda
A258,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_060,BIO_056,Yoga
A259,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_028,BIO_025,Unani
A260,Migraine,A chronic disease affecting the respiratory system.,TM2_063,BIO_058,Homeopathy
A261,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_023,BIO_022,Yoga
A262,Diabetes,Parasitic infection spread by mosquitoes.,TM2_048,BIO_069,Ayurveda
A263,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_065,BIO_058,Yoga
A264,Asthma,A chronic disease affecting the respiratory system.,TM2_069,BIO_080,Ayurveda
A265,Cough,A common viral infection causing fever and weakness.,TM2_034,BIO_029,Siddha
A266,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_019,BIO_085,Siddha
A267,Fever,A common viral infection causing fever and weakness.,TM2_018,BIO_077,Ayurveda
A268,Tuberculosis,A neurological condition causing severe headaches.,TM2_080,BIO_060,Unani
A269,Tuberculosis,Parasitic infection spread by mosquitoes.,TM2_027,BIO_094,Homeopathy
A270,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_067,BIO_022,Ayurveda
A271,Asthma,Parasitic infection spread by mosquitoes.,TM2_036,BIO_014,Yoga
A272,Cough,A condition involving high blood pressure over a long period.,TM2_034,BIO_093,Homeopathy
A273,Diabetes,A neurological condition causing severe headaches.,TM2_005,BIO_038,Unani
A274,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_024,BIO_055,Unani
A275,Migraine,Parasitic infection spread by mosquitoes.,TM2_011,BIO_055,Siddha
A276,Malaria,A chronic disease affecting the respiratory system.,TM2_074,BIO_098,Ayurveda
A277,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_043,BIO_014,Ayurveda
A278,Anemia,A chronic disease affecting the respiratory system.,TM2_094,BIO_021,Siddha
A279,Asthma,A neurological condition causing severe headaches.,TM2_069,BIO_090,Ayurveda
A280,Arthritis,A metabolic disorder characterized by high blood sugar levels.,TM2_024,BIO_078,Unani
A281,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_029,BIO_061,Homeopathy
A282,Malaria,A condition involving high blood pressure over a long period.,TM2_057,BIO_070,Ayurveda
A283,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_073,BIO_026,Siddha
A284,Asthma,A metabolic disorder characterized by high blood sugar levels.,TM2_018,BIO_095,Siddha
A285,Migraine,A metabolic disorder characterized by high blood sugar levels.,TM2_090,BIO_015,Ayurveda
A286,Cough,A neurological condition causing severe headaches.,TM2_039,BIO_077,Unani
A287,Tuberculosis,A common viral infection causing fever and weakness.,TM2_005,BIO_072,Ayurveda
A288,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_037,BIO_044,Yoga
A289,Hypertension,A chronic disease affecting the respiratory system.,TM2_028,BIO_079,Unani
A290,Malaria,A neurological condition causing severe headaches.,TM2_077,BIO_043,Yoga
A291,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_085,BIO_027,Homeopathy
A292,Diabetes,Inflammation of airways causing difficulty in breathing.,TM2_038,BIO_028,Homeopathy
A293,Cough,A respiratory condition marked by coughing and irritation.,TM2_079,BIO_084,Homeopathy
A294,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_027,BIO_003,Ayurveda
A295,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_027,BIO_019,Homeopathy
A296,Fever,A metabolic disorder characterized by high blood sugar levels.,TM2_037,BIO_095,Yoga
A297,Cough,A condition involving high blood pressure over a long period.,TM2_046,BIO_050,Unani
A298,Anemia,Parasitic infection spread by mosquitoes.,TM2_001,BIO_062,Homeopathy
A299,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_100,BIO_047,Ayurveda
A300,Cough,A common viral infection causing fever and weakness.,TM2_057,BIO_073,Ayurveda
A301,Arthritis,A condition involving high blood pressure over a long period.,TM2_089,BIO_088,Unani
A302,Malaria,Parasitic infection spread by mosquitoes.,TM2_010,BIO_003,Ayurveda
A303,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_051,BIO_079,Homeopathy
A304,Diabetes,A common viral infection causing fever and weakness.,TM2_040,BIO_078,Yoga
A305,Fever,Parasitic infection spread by mosquitoes.,TM2_086,BIO_066,Ayurveda
A306,Asthma,A chronic disease affecting the respiratory system.,TM2_068,BIO_071,Yoga
A307,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_009,BIO_083,Siddha
A308,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_001,BIO_001,Yoga
A309,Asthma,A condition involving high blood pressure over a long period.,TM2_030,BIO_014,Ayurveda
A310,Asthma,A condition involving high blood pressure over a long period.,TM2_018,BIO_082,Siddha
A311,Malaria,Parasitic infection spread by mosquitoes.,TM2_013,BIO_098,Ayurveda
A312,Tuberculosis,A neurological condition causing severe headaches.,TM2_056,BIO_004,Unani
A313,Malaria,Parasitic infection spread by mosquitoes.,TM2_069,BIO_013,Siddha
A314,Malaria,Parasitic infection spread by mosquitoes.,TM2_100,BIO_037,Yoga
